concept_A,concept_B,n_people
Infective pneumonia,Severe sepsis,3
Infective pneumonia,Thrombocytopenic disorder,3
Late effect of complications of procedure,Lung field abnormal,3
Late effect of complications of procedure,Nausea,3
Late effect of complications of procedure,Pleural effusion,3
Late effect of complications of procedure,Late effect of medical and surgical care complication,3
Late effect of complications of procedure,Leukocytosis,3
Late effect of complications of procedure,Thrombocytopenic disorder,3
Anemia,Anemia in neoplastic disease,3
Late effect of medical and surgical care complication,Lung field abnormal,3
Late effect of complications of procedure,Pulmonary congestion and hypostasis,3
Leukocytosis,Lung field abnormal,3
Late effect of medical and surgical care complication,Pulmonary congestion and hypostasis,3
Late effect of medical and surgical care complication,Seizure,3
Late effect of medical and surgical care complication,Nausea,3
Late effect of medical and surgical care complication,Nausea and vomiting,3
Anemia,Anxiety disorder,3
Leukocytosis,Nausea,3
Leukocytosis,Nausea and vomiting,3
Chest pain,Seizure,3
Candidiasis of mouth,Dyspnea,3
Chest pain,Oral ulcerative mucositis due to antineoplastic therapy,3
Abnormal findings on diagnostic imaging of lung,Anxiety disorder,3
Candidiasis of mouth,Nausea and vomiting,3
Leukocytosis,Pulmonary congestion and hypostasis,3
Leukocytosis,Seizure,3
Low blood pressure,Lung field abnormal,3
Lung field abnormal,Sepsis,3
Lung field abnormal,Septic shock,3
Lung field abnormal,Severe sepsis,3
Candidiasis of mouth,Poisoning by drug AND/OR medicinal substance,3
Lung field abnormal,Nausea and vomiting,3
Candidiasis of mouth,Pain due to neoplastic disease,3
Low blood pressure,Thrombocytopenic disorder,3
Candidiasis of mouth,Pleural effusion,3
Lung field abnormal,Pulmonary congestion and hypostasis,3
Nausea and vomiting,Thrombocytopenic disorder,3
Abnormal findings on diagnostic imaging of lung,Cardiac arrhythmia,3
Abnormal findings on diagnostic imaging of lung,Chest pain,3
Cardiac arrhythmia,Disease of liver,3
Nausea,Thrombocytopenic disorder,3
Nausea,Pulmonary congestion and hypostasis,3
Pleural effusion,Pulmonary congestion and hypostasis,3
No matching concept,Thrombocytopenic disorder,3
Nausea and vomiting,Seizure,3
Pleural effusion,Seizure,3
Candidiasis of mouth,Tachycardia,3
Pulmonary congestion and hypostasis,Thrombocytopenic disorder,3
Sepsis,Septic shock,3
Candidiasis of mouth,Retention of urine,3
Cardiac arrhythmia,Edema,3
Seizure,Severe sepsis,3
Cardiac arrhythmia,Eruption,3
Abnormal findings on diagnostic imaging of lung,Disorder of bone,3
Seizure,Sepsis,3
Cardiac arrhythmia,Disorder of brain,3
Septic shock,Severe sepsis,3
Septic shock,Thrombocytopenic disorder,3
Anemia,Seizure,3
Anemia,Severe sepsis,3
Cardiac arrhythmia,Cough,3
Cardiac arrhythmia,Diarrhea,3
Acute respiratory failure,Retention of urine,3
Cardiac arrhythmia,Hypervolemia,3
Retention of urine,Seizure,3
Cardiac arrhythmia,Illness,3
Abnormal glucose level,Anemia,3
Abnormal glucose level,Fever,3
Abnormal glucose level,Hypoxemia,3
Abnormal glucose level,Atelectasis,3
Acute respiratory failure,Atelectasis,3
Acute respiratory failure,Hypoxemia,3
Acute respiratory failure,Fever,3
Cardiac arrhythmia,Inflammatory dermatosis,3
Anemia,Late effect of medical and surgical care complication,3
Anemia,Leukocytosis,3
Cardiac arrhythmia,Essential hypertension,3
Anemia,Oral ulcerative mucositis due to antineoplastic therapy,3
Cardiac arrhythmia,Generalized abdominal pain,3
Atelectasis,Constipation,3
Cardiac arrhythmia,Pneumothorax,3
Atelectasis,Chest pain,3
Abnormal findings on diagnostic imaging of lung,Secondary malignant neoplasm of pleura,3
Cardiac arrhythmia,Pain due to neoplastic disease,3
Atelectasis,Electrocardiogram abnormal,3
Atelectasis,Essential hypertension,3
Cardiac arrhythmia,Vomiting,3
Abnormal findings on diagnostic imaging of lung,Essential hypertension,3
Abnormal findings on diagnostic imaging of lung,Retention of urine,3
Anemia in neoplastic disease,Chest pain,3
Anemia in neoplastic disease,Tachycardia,3
Anxiety disorder,Chest pain,3
Anxiety disorder,Dyspnea,3
Anxiety disorder,Nausea and vomiting,3
Anxiety disorder,"Intra-abdominal and pelvic swelling, mass and lump",3
Anxiety disorder,Hypo-osmolality and or hyponatremia,3
Anxiety disorder,Illness,3
Anxiety disorder,Secondary malignant neoplasm of intrathoracic lymph nodes,3
Anxiety disorder,Secondary malignant neoplasm of lung,3
Anxiety disorder,Pain due to neoplastic disease,3
Anxiety disorder,Pleural effusion,3
Ascites,Cardiac arrhythmia,3
Anxiety disorder,Tachycardia,3
Anxiety disorder,Secondary malignant neoplasm of pleura,3
Anemia in neoplastic disease,Pleural effusion,3
Anemia in neoplastic disease,Constipation,3
Abnormal findings on diagnostic imaging of lung,Fever,3
Abnormal findings on diagnostic imaging of lung,Disorder of soft tissue,3
Abnormal findings on diagnostic imaging of lung,Secondary malignant neoplasm of intrathoracic lymph nodes,3
Cardiac arrhythmia,Shoulder joint pain,3
Abnormal findings on diagnostic imaging of lung,Secondary malignant neoplasm of lung,3
Cardiac arrhythmia,Retention of urine,3
Cardiac arrhythmia,Right upper quadrant pain,3
Atelectasis,Hypoxemia,3
Atelectasis,Nausea and vomiting,3
Atelectasis,Oral ulcerative mucositis due to antineoplastic therapy,3
Atelectasis,Pain due to neoplastic disease,3
Cardiac arrhythmia,Secondary hypertension,3
Atelectasis,Late effect of medical and surgical care complication,3
Chest pain,Essential hypertension,3
Anemia in neoplastic disease,Pain due to neoplastic disease,3
Anemia in neoplastic disease,Finding relating to psychosocial functioning,2
"Abdominal distension, gaseous",Abdominal pain,2
"Abdominal distension, gaseous",Anemia,2
"Abdominal distension, gaseous",Acute deep vein thrombosis of lower limb,2
Pancytopenia due to antineoplastic chemotherapy,Thrombocytopenic disorder,2
Anemia in neoplastic disease,Neoplastic disease,2
Anemia in neoplastic disease,Neuralgia,2
Anemia in neoplastic disease,Neutropenia,2
Anemia in neoplastic disease,Neutropenia due to and following chemotherapy,2
Anemia in neoplastic disease,Malaise,2
Anemia in neoplastic disease,Anesthesia of skin,2
Anemia in neoplastic disease,Anxiety disorder,2
Anemia in neoplastic disease,Hypoxemia,2
Illness,Imaging of abdomen abnormal,2
Headache,Secondary malignant neoplasm of lung,2
Headache,Secondary malignant neoplasm of pleura,2
Headache,Imaging of abdomen abnormal,2
Headache,"Intra-abdominal and pelvic swelling, mass and lump",2
Peritoneal adhesion,Secondary malignant neoplasm of pleura,2
Peritoneal adhesion,Pleural effusion,2
Oral ulcerative mucositis due to antineoplastic therapy,Secondary malignant neoplasm of intrathoracic lymph nodes,2
Cardiac arrhythmia,Dysphagia,2
Cardiac arrhythmia,Gastroesophageal reflux disease,2
Cardiac arrhythmia,Cerebral hemorrhage,2
Cardiac arrhythmia,Cholecystitis,2
Cardiac arrhythmia,Chronic nonalcoholic liver disease,2
Abnormal findings on diagnostic imaging of lung,Finding relating to psychosocial functioning,2
Abnormal findings on diagnostic imaging of lung,Gastroesophageal reflux disease without esophagitis,2
Abnormal findings on diagnostic imaging of lung,Generalized abdominal pain,2
Abnormal findings on diagnostic imaging of lung,Hair follicle disorder,2
"Abdominal distension, gaseous",Anxiety disorder,2
"Abdominal distension, gaseous",Acquired absence of organ,2
"Abdominal distension, gaseous",Abnormality of systemic vein,2
"Abdominal distension, gaseous",Abnormal findings on diagnostic imaging of lung,2
Peritoneal adhesion,Tachycardia,2
Anemia in neoplastic disease,Functional disorder of intestine,2
Anemia in neoplastic disease,Gastroesophageal reflux disease without esophagitis,2
Backache,Chest pain,2
Candidiasis of mouth,Late effect of medical and surgical care complication,2
Candidiasis of mouth,Leukocytosis,2
Candidiasis of mouth,Headache,2
Candidiasis of mouth,Chronic pain,2
Backache,Tachycardia,2
Backache,Thrombocytopenic disorder,2
Backache,Ulcerative stomatitis,2
Abnormal findings on diagnostic imaging of lung,Hypoxemia,2
Abnormal findings on diagnostic imaging of lung,Immunodeficiency disorder,2
Abnormal findings on diagnostic imaging of lung,Inflammatory disorder of digestive tract,2
Backache,Retention of urine,2
Backache,Seizure,2
Backache,Nausea and vomiting,2
Backache,Oral ulcerative mucositis due to antineoplastic therapy,2
Cardiac arrhythmia,Disseminated intravascular coagulation,2
Atelectasis,Tumor lysis syndrome,2
Backache,Pain due to neoplastic disease,2
Backache,Pleural effusion,2
Backache,Poisoning by drug AND/OR medicinal substance,2
Backache,Late effect of medical and surgical care complication,2
Backache,Leukocytosis,2
Backache,Electrocardiogram abnormal,2
Backache,Essential hypertension,2
Backache,Fever,2
Abnormal findings on diagnostic imaging of lung,Neoplastic disease,2
Abnormal findings on diagnostic imaging of lung,Neuralgia,2
Abnormal findings on diagnostic imaging of lung,Low blood pressure,2
Abnormal findings on diagnostic imaging of lung,Malaise,2
Backache,Headache,2
Backache,Disorder of brain,2
Backache,Dyspnea,2
Abnormal findings on diagnostic imaging of lung,Postoperative state,2
Abnormal findings on diagnostic imaging of lung,Neutropenia,2
Abnormal findings on diagnostic imaging of lung,Neutropenia due to and following chemotherapy,2
Abnormal findings on diagnostic imaging of lung,Non-infectious systemic inflammatory response syndrome without acute organ failure,2
Atelectasis,Septic shock,2
Atelectasis,Severe sepsis,2
Backache,Chronic pain,2
Backache,Constipation,2
Backache,Candidiasis of mouth,2
Atelectasis,Shoulder joint pain,2
Atelectasis,Transplant present,2
Abnormal findings on diagnostic imaging of lung,Pain,2
Abnormal findings on diagnostic imaging of lung,Malignant neoplastic disease,2
Abnormal findings on diagnostic imaging of lung,Mild protein-calorie malnutrition (weight for age 75-89 percent of standard),2
Abnormal findings on diagnostic imaging of lung,Moderate protein-calorie malnutrition (weight for age 60-74 percent of standard),2
Atelectasis,Trauma and postoperative pulmonary insufficiency,2
Cardiac arrhythmia,Pain in limb,2
Cardiac arrhythmia,Hyperlipidemia,2
Cardiac arrhythmia,Imaging of thorax abnormal,2
Cardiac arrhythmia,Inflammatory disorder,2
Cardiac arrhythmia,Intracranial hemorrhage,2
Abnormal findings on diagnostic imaging of lung,Pulmonary embolism,2
Abnormal findings on diagnostic imaging of lung,Reduced mobility,2
Abnormal findings on diagnostic imaging of lung,Pancytopenia due to antineoplastic chemotherapy,2
Abnormal findings on diagnostic imaging of lung,Paresthesia,2
Atelectasis,Ulcerative stomatitis,2
Atelectasis,Pulmonary congestion and hypostasis,2
Atelectasis,Right upper quadrant pain,2
Atelectasis,Secondary hypertension,2
Atelectasis,Seizure,2
Atelectasis,Sepsis,2
Abnormal findings on diagnostic imaging of lung,Poisoning by drug AND/OR medicinal substance,2
Atelectasis,Imaging of thorax abnormal,2
Atelectasis,Neutropenic disorder,2
Atelectasis,Pain in limb,2
Atelectasis,Poisoning by drug AND/OR medicinal substance,2
Atelectasis,Inflammatory disorder,2
Atelectasis,Intracranial hemorrhage,2
Atelectasis,Late effect of complications of procedure,2
Cardiac arrhythmia,Congestive heart failure,2
Candidiasis of mouth,Thrombocytopenic disorder,2
Candidiasis of mouth,Ulcerative stomatitis,2
Candidiasis of mouth,Oral ulcerative mucositis due to antineoplastic therapy,2
Candidiasis of mouth,Seizure,2
Cardiac arrhythmia,Trauma and postoperative pulmonary insufficiency,2
Cardiac arrhythmia,Tumor lysis syndrome,2
Cardiac arrhythmia,Neutropenic disorder,2
Cardiac arrhythmia,Oral ulcerative mucositis due to antineoplastic therapy,2
Abnormal findings on diagnostic imaging of lung,Disorder of intestine,2
Cardiomegaly,Imaging of thorax abnormal,2
Abnormal findings on diagnostic imaging of lung,Right upper quadrant pain,2
Abnormal findings on diagnostic imaging of lung,Secondary hypertension,2
Abnormal findings on diagnostic imaging of lung,Secondary malignant neoplasm of bone,2
Abnormal findings on diagnostic imaging of lung,Secondary malignant neoplasm of brain,2
Abnormal findings on diagnostic imaging of lung,Persistent pain following procedure,2
Abnormal findings on diagnostic imaging of lung,Pleural effusion due to malignant neoplastic disease,2
Abnormal findings on diagnostic imaging of lung,Pleurisy,2
Abnormal findings on diagnostic imaging of lung,Pleuritic pain,2
Abnormal findings on diagnostic imaging of lung,Pneumonia,2
Abnormal findings on diagnostic imaging of lung,Secondary malignant neoplasm of lymph nodes of multiple sites,2
Abnormal findings on diagnostic imaging of lung,Secondary malignant neoplasm of nervous system,2
Abnormal findings on diagnostic imaging of lung,Primary malignant neoplasm,2
Abnormal findings on diagnostic imaging of lung,Primary malignant neoplasm of brain,2
Atelectasis,Hyperlipidemia,2
Atelectasis,Dysphagia,2
Atelectasis,Edema,2
Atelectasis,"Flatulence, eructation and gas pain",2
Abnormal findings on diagnostic imaging of lung,Spinal cord compression,2
Abnormal findings on diagnostic imaging of lung,Spinal stenosis of thoracic region,2
Abnormal findings on diagnostic imaging of lung,Embolism from thrombosis of vein of lower extremity,2
Abnormal findings on diagnostic imaging of lung,Epigastric pain,2
Cardiac arrhythmia,Disorder due to infection,2
Cardiac arrhythmia,Disorder of gallbladder,2
Cerebral hemorrhage,Constipation,2
Cardiomegaly,Tachycardia,2
Cardiomegaly,Trauma and postoperative pulmonary insufficiency,2
Cardiomegaly,Retention of urine,2
Cardiomegaly,Secondary hypertension,2
Cardiomegaly,Hypoxemia,2
Abnormal findings on diagnostic imaging of lung,Fatigue,2
Antineoplastic poisoning,Lung field abnormal,2
Antineoplastic poisoning,Neutropenic disorder,2
Abnormal findings on diagnostic imaging of lung,Secondary malignant neoplasm of left lung,2
Atelectasis,Gastroesophageal reflux disease,2
Atelectasis,Disorder due to infection,2
Atelectasis,Disorder of brain,2
Atelectasis,Disorder of gallbladder,2
Atelectasis,Disseminated intravascular coagulation,2
Atelectasis,Cardiomegaly,2
Atelectasis,Cerebral hemorrhage,2
Atelectasis,Cholecystitis,2
Atelectasis,Chronic nonalcoholic liver disease,2
Abnormal findings on diagnostic imaging of lung,Secondary malignant neoplasm of right lung,2
Abnormal findings on diagnostic imaging of lung,Secondary malignant neoplasm of unknown site,2
Abnormal findings on diagnostic imaging of lung,Secondary malignant neoplastic disease,2
Abnormal findings on diagnostic imaging of lung,Secondary thrombocytopenia,2
Antineoplastic poisoning,Cardiac arrhythmia,2
Antineoplastic poisoning,Cerebral hemorrhage,2
Antineoplastic poisoning,Cholecystitis,2
Anemia in neoplastic disease,Thrombocytopenic disorder,2
Atelectasis,Chronic pain,2
Atelectasis,Congestive heart failure,2
Atelectasis,Backache,2
Atelectasis,Candidiasis of mouth,2
Abnormal findings on diagnostic imaging of lung,Upper abdominal pain,2
Antineoplastic poisoning,Transplant present,2
Antineoplastic poisoning,Sepsis,2
Antineoplastic poisoning,Septic shock,2
Antineoplastic poisoning,Severe sepsis,2
Antineoplastic poisoning,Shoulder joint pain,2
Antineoplastic poisoning,Thrombocytopenic disorder,2
Antineoplastic poisoning,Pain in limb,2
Anemia,Tumor lysis syndrome,2
Anemia,Ulcerative stomatitis,2
Anemia,Pain in limb,2
Anemia,Pulmonary congestion and hypostasis,2
Antineoplastic poisoning,Hypoxemia,2
Antineoplastic poisoning,Inflammatory disorder,2
Antineoplastic poisoning,Intracranial hemorrhage,2
Antineoplastic poisoning,Fever,2
Antineoplastic poisoning,Gastroesophageal reflux disease,2
Antineoplastic poisoning,Headache,2
Antineoplastic poisoning,Disorder of gallbladder,2
Antineoplastic poisoning,Disseminated intravascular coagulation,2
Antineoplastic poisoning,Edema,2
Antineoplastic poisoning,Chronic nonalcoholic liver disease,2
Antineoplastic poisoning,Constipation,2
Antineoplastic poisoning,Disorder due to infection,2
Anemia,Disseminated intravascular coagulation,2
Anemia,Dysphagia,2
Anemia,"Flatulence, eructation and gas pain",2
Anemia,Gastroesophageal reflux disease,2
Anemia in neoplastic disease,Ulcerative stomatitis,2
Antineoplastic poisoning,Atelectasis,2
Anemia in neoplastic disease,Seizure,2
Anemia in neoplastic disease,Oral ulcerative mucositis due to antineoplastic therapy,2
Anemia in neoplastic disease,Late effect of medical and surgical care complication,2
Anemia in neoplastic disease,Leukocytosis,2
Anemia in neoplastic disease,Headache,2
Anemia in neoplastic disease,Chronic pain,2
Anemia in neoplastic disease,Atelectasis,2
Anemia in neoplastic disease,Backache,2
Anemia,Transplant present,2
Anemia,Trauma and postoperative pulmonary insufficiency,2
Anemia,Antineoplastic poisoning,2
Anemia,Backache,2
Anemia,Cardiomegaly,2
Anemia,Cerebral hemorrhage,2
Acute respiratory failure,Trauma and postoperative pulmonary insufficiency,2
Acute respiratory failure,Secondary hypertension,2
Acute respiratory failure,Shoulder joint pain,2
Acute respiratory failure,Tachycardia,2
Acute respiratory failure,Transplant present,2
Anemia,Septic shock,2
Anemia,Late effect of complications of procedure,2
Anemia,Neutropenic disorder,2
Anemia,Hyperlipidemia,2
Anemia,Imaging of thorax abnormal,2
Anemia,Inflammatory disorder,2
Anemia,Intracranial hemorrhage,2
Acute respiratory failure,Intracranial hemorrhage,2
Acute respiratory failure,Dysphagia,2
Acute respiratory failure,Edema,2
Acute respiratory failure,Essential hypertension,2
Acute respiratory failure,Gastroesophageal reflux disease,2
